Crash_Date,Crash_Time,Aircraft_Type,Aircraft_SN,Base,Wing,Squadron,Mission_Type,Weapon,Target_Objective,Ceiling_Vis,Maneuver,Pass,Angle,Altitude,Airspeed,Mission_Phase,Where_Hit,Fire_Observed,Hit_Country,Loss_Country,Defense_Type,Pilot_Hit,Pilot_Rank,Pilot,Pilot_Egress,Pilot_Status,Pilot_Condition,Pilot_Recovered,Latitude,Longitude
1964-04-09,_,T-28B,538361,_,_,_,,_,_,/..,Strafe,3,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Brumet R. N.,Crash,KIA,_,_,,
1964-06-26,_,T-28D,517871,BHA,_,1ACS,,Napalm,_,/..,_,2,0,0,0,At target,Engine,_,SVn,SVn,Gunfire,_,Capt,Johnson E. S.,Ejection,Recovered,Uninjured,Helo,,
1964-08-06,_,B-57B,533870,CLK,405FW,_,,_,Not applicable,/..,_,0,0,0,0,Enroute,_,_,SVn,SVn,Gunfire,_,Capt,Cutrer F. C.,Crash,KIA,_,_,,
1964-08-14,_,F-105,624371,TKL,41AD,36TFS,,_,_,/..,_,0,0,0,0,_,Aft fuselage,_,LS,THL,Gunfire,_,u,u,_,Recovered,Uninjured,_,,
1964-08-18,_,F-100D,563085,TKL,_,428TFS,,_,_,/..,_,0,0,0,0,_,_,N,LS,LS,Gunfire,N,1Lt,Clark C. A.,Ejection,Recovered,Uninjured,u Helo,,
1964-08-29,N,A-1E,52132465,BHA,34TACG,1ACS,,_,Not applicable,/..,_,0,0,0,0,Enroute,_,_,SVn,SVn,30cal AAA,p,Capt,Goss R. D.,Crash,KIA,_,_,,
1964-09-22,N,A-1E,52132441,BHA,34TACG,1ACS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,50cal AAA,_,1Lt,Flynn C. E. III,Crashlanded,KIA,_,_,9.5,105.58333333333333
1964-09-22,N,A-1E,52132656,BHA,34TACG,1ACS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,50cal AAA,_,Capt,May W. H.,Ejection,Recovered,Uninjured,_,9.5,105.58333333333333
1964-09-26,_,A-1E,52132450,BHA,34TACG,1ACS,,_,_,/..,_,2,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Maj,Harris W. C.,Crashlanded,Recovered,Uninjured,u Helo,10.083333333333334,106.06666666666666
1964-10-02,_,A-1E,52132654,BHA,34TACG,1ACS,,Napalm,_,/..,_,4,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Walker K. E.,Crash,KIA,_,_,9.566666666666666,106.45
1964-10-24,_,C-123,554549,_,_,_,,_,Bu Prang Hit Dak dam,/..,_,0,0,0,0,Enroute,Right engine,_,CMB,CMB,Gunfire,_,1Lt,Bourque V. M.,Crash,KIA,_,_,,
1964-10-26,_,A-1E,52132411,TSN,34TACG,1ACS,,Napalm,_,/..,_,0,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,1Lt,Dyer G. C.,Crash,KIA,_,_,10.8,106.58333333333333
1964-11-07,0430D,O-1F,572828,BHA,34TACG,1ACS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,LtCol,Holman A. H.,Crashlanded,Recovered,Minor injuries,_,,
1964-11-19,_,T-28D,517870,UDN,35TACG,_,,_,Not applicable,/..,_,0,0,0,0,Enroute,_,_,SVn,SVn,30cal AAA,_,Capt,Albrecht G. H.,Crash,KIA,_,_,,
1964-11-21,_,RF-101C,560230,TSN,2AD,15TRS,,_,Ban Seng Phan,/..,_,2,0,3000,450,_,,Y,LS,LS,Moderate 37mm AAA,_,Capt,Waltz B. L.,Ejection,Recovered,Major injuries,AA H-34,,
1964-12-01,_,A-1E,52132640,BHA,34TACG,_,,_,Not applicable,/..,_,0,0,0,0,Enroute,Right wing,_,SVn,SVn,Gunfire,_,1Lt,Roedeman K. P.,Ejection,Recovered,Minor injuries,u Helo,11.3,106.9
1964-12-31,_,O-1F,572823,DNG,_,366TFS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,(Combat associated),_,Capt,McDonald K. C.,Ejection,MIA,_,_,16.133333333333333,107.9
1965-01-12,_,O-1F,564712,BHA,34TACG,_,,_,_,/..,_,0,0,0,0,_,Center wing,Y,SVn,SVn,Automatic weapons,_,Capt,Craig T. L.,Crashlanded,Recovered,Uninjured,_,,
1965-01-13,_,F-105D,624296,KRT,18TFW,_,,_,Bridge,/..,_,2,0,0,0,_,_,_,LS,LS,Heavy 37/57mm AAA (prob.),_,Capt,Vollmer A.,Ejection,Recovered,Uninjured,u Helo,19.583333333333332,103.66666666666667
1965-01-13,_,F-100,563510,_,_,_,,_,Anti-aircraft gun position,/..,_,5,0,0,0,At target,_,_,LS,LS,Moderate 37/57mm AAA (prob.),_,Capt,Ferguson C. L.,Ejection,Recovered,Uninjured,u Helo,,
1965-01-15,_,O-1F,572806,BHA,34TACG,_,,_,_,/..,_,0,0,0,0,_,Left wing,Y,SVn,SVn,Gunfire,_,Capt,Brown H. L.,Crashlanded,Recovered,Minor injuries,_,,
1965-02-10,_,A-1E,52132401,BHA,34TACG,_,,_,_,/..,_,3,0,0,0,_,Right wing,Y,SVn,Sea,Gunfire,_,Capt,Duggan W. Y.,Crashlanded,Recovered,Uninjured,u Helo,9.566666666666666,106.58333333333333
1965-02-19,_,F-100D,553783,DNG,401TFW,613TFS,,_,_,/..,_,0,0,0,0,_,_,_,LS,LS,Gunfire,_,Maj,Ronca R. F.,Crash,KIA,_,_,19.583333333333332,103.66666666666667
1965-03-02,0500D,F-105D,614214,KRT,18TFW,67TFS,,_,Xom Bang ammunition depot,/..,Level,1,0,20,500,At target,Left wing,N,NVn,NVn,Heavy 37mm AAA,N,Capt,Baird R. V.,Ejection,Recovered,_,USAF HH43,,
1965-03-02,0732D,F-100D,552857,DNG,401TFW,613TFS,,_,Xom Bang ammunition depot,/10,Level,2,0,200,500,At target,_,Y,NVn,NVn,Heavy barrage 37mm AAA,_,1Lt,Lockhart H. J. Jr,Ejection,POW (returned),_,_,17.166666666666668,106.75
1965-03-02,0734D,F-105D,624325,KRT,18TFW,_,,_,Xom Bang ammunition depot,/10,_,2,0,200,500,At target,_,N,Nvn,THL,Heavy AAA (prob.),N,Capt,Spagnola K. L.,Ejection,Recovered,Uninjured,USAF Helo,16.066666666666666,103.66666666666667
1965-03-02,0745D,F-100D,563150,TKL,474TFW,428TFS,,_,Quang Khe Naval ,/10,Level,2,0,200,510,At target,_,Y,NVn,Sea,Heavy automatic weapons,N,Lt,Cullen J. A.,Ejection,Recovered,Uninjured,USAF Helo,17.716666666666665,106.56666666666666
1965-03-02,_,F-105D,624260,KRT,18TFW,67TFS,,_,Xom Bang ammunition depot,/10,Pull up,1,0,200,500,At target,Tail,N,NVn,LS,Light 37/57mm AAA (prob.),N,Maj,Panas G. W.,Ejection,Recovered,Uninjured,USAF Helo,16.716666666666665,106.28333333333333
1965-03-11,0850D,B-57,533890,BHA,405FW,8TBS,,_,VietCong position,/..,_,0,0,0,0,At target,Aft fuselage,Y,SVn,SVn,Gunfire,_,Capt,Mattis W. C.,Ejection,KIA,_,_,14.416666666666666,108.41666666666667
1965-03-21,_,A-1E,52132649,BHA,34TACG,_,,_,_,/..,_,0,0,0,0,_,Fuselage,Y,SVn,SVn,Gunfire (poss. combat associated),_,Capt,Campbell W. H.,Crashlanded,KIA,_,_,10.05,105.76666666666667
1965-03-22,_,F-105D,624233,KRT,18TFW,_,,_,Vinh Son radar site,/..,_,0,0,0,0,At target,Aft fuselage,Y,NVn,Sea,Moderate 14.5mm AAA (prob.),N,LtCol,Risner R.,Ejection,Recovered,Minor injuries,USAF Helo,17.966666666666665,106.53333333333333
1965-03-31,0300D,F-100D,552906,DNG,401TFW,613TFS,,_,Route 12,1000/6,_,0,0,1200,0,At target,Right wing,Y,NVn,LS,Light automatic weapons,_,Capt,Bigoness R. A.,Ejection,Recovered,Minor injuries,USAF Helo,17.283333333333335,105.75
1965-04-03,0600D,F-100D,553625,DNG,401TFW,613TFS,,_,Thanh Hoa RR and highway bridge,/7,Dive,2,0,0,0,At target,_,_,NVn,NVn,Heavy 57mm AAA (prob. combat associated),_,1Lt,Smith G. C.,_,KIA,_,_,,
1965-04-03,0740D,RF-101C,560075,_,_,45TRS,,_,Radar site BDA,/3,_,0,0,0,0,_,_,_,NVn,NVn,Gunfire (poss. combat associated),_,Capt,Morgan H. S.,_,POW (returned),_,_,18.883333333333333,105.23333333333333
1965-04-04,0300D,F-105D,624217,KRT,18TFW,_,,_,Thanh Hoa RR and highway bridge,/5,_,0,0,0,0,At target,_,Y,NVn,NVn,Gunfire,_,Capt,Harris C. S.,Ejection,POW (returned),_,_,,
1965-04-04,0330D,F-105D,591754,KRT,355TFW,_,,_,Thanh Hoa RR and highway bridge,3000/3,Orbit,0,0,0,0,At target,_,N,NVn,Sea,MiG cannon fire (prob. MiG-17),N,Maj,Bennett F. E.,Ejection,KIA,_,_,16.05,108.2
1965-04-04,0330D,F-105D,591764,KRT,355TFW,_,,_,Thanh Hoa RR and highway bridge,3000/3,Orbit,0,0,0,0,At target,Left fuselage,N,NVn,NVn,MiG cannon fire (prob. MiG-17),_,Capt,Magnusson J. A.,_,KIA,_,_,19.466666666666665,105.95
1965-04-05,_,F-105D,591742,KRT,355TFW,_,,_,Trucks on Route 9E,/..,Strafe,0,20,0,420,At target,_,Y,NVn,NVn,37mm AAA,N,Capt,Gay T.,Ejection,Recovered,Uninjured,USAF Helo,19.466666666666665,104.66666666666667
1965-04-07,0310D,B-57B,533880,BHA,_,8TBS,,_,Route 7,6000/5,Dive,0,0,0,0,At target,_,_,LS,LS,AAA (prob. combat associated),_,Capt,Lewis J. W.,_,MIA,_,_,19.583333333333332,103.78333333333333
1965-04-17,_,F-105D,610171,KRT,23TFW,563TFS,,_,Mu Gia  supply,/4,Dive,0,35,0,305,At target,_,N,NVn,NVn,No defenses (combat associated),_,Capt,Woodworth S. A.,Crash,KIA,_,_,,
1965-04-17,_,A-1E,52133886,BHA,2AD,1ACS,,_,_,/..,Strafe,0,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Haight L. D.,Crash,Recovered,Minor injuries,_,,
1965-04-18,_,A-1E,52132601,BHA,2AD,1ACS,,_,_,/..,Dive,0,0,0,0,At target,_,Y,SVn,SVn,Own bomb (combat associated),p,Capt,Wheeler J. A.,Crash,KIA,_,_,,
1965-04-29,0458D,RF-101C,560190,UDN,18TFW,15TRS,,_,Route 6 BDA,4000/10,Level,1,0,3000,0,At target,_,Y,LS,LS,AAA,_,Capt,Shelton C. E.,Ejection,POW,_,_,20.466666666666665,104.03333333333333
1965-05-06,0500D,RF-101C,560045,TSN,_,45TRS,,_,Vinh Le barracks BDA,1500/10,Level,1,0,200,420,At target,_,_,NVn,NVn,Gunfire,_,Capt,Stubberfield R. A.,_,KIA,_,_,17.05,107.01666666666667
1965-05-07,0730D,F-105D,591718,KRT,355TFW,354TFS,,_,Thanh Hoa RR and highway bridge,/25,Dive,0,40,4500,0,At target,Right wing,Y,NVn,NVn,Gunfire,N,Maj,Lambert R. E.,Ejection,Recovered,Minor injuries,USAF Helo,19.75,106.16666666666667
1965-05-09,0850D,F-105D,624408,TKL,23TFW,563TFS,,_,Mu Gia  AAA site,5000/10,Dive,0,0,0,0,At target,_,Y,LS,LS,Heavy aimed gunfire,_,Capt,Wistrand R. C.,_,KIA,_,_,17.75,105.71666666666667
1965-05-09,1034Ds,O-1F,572896,BHA,_,19TASS,,_,_,/..,Level,0,0,1200,0,_,Engine,N,SVn,SVn,Gunfire,N,Capt,Reed L. L.,Crashlanded,Recovered,Minor injuries,_,,
1965-05-17,0715D,F-105D,624222,KRT,18TFW,_,,_,Route 7,6000/..,Level,0,0,3000,450,At target,Fuselage,Y,NVn,NVn,37mm AAA,N,Capt,Taliaferro J. J.,Ejection,Recovered,Uninjured,USAF Helo,19.05,104.68333333333334
1965-05-18,0200D,F-105D,591731,TKL,35TACG,563TFS,,_,Road,5000/10,Pull up,0,30,3000,0,At target,_,Y,LS,LS,Heavy gunfire,_,Capt,Hrdlicka D. L.,Ejection,POW,_,_,20.45,104.13333333333334
1965-05-23,0700D,F-105D,610054,KRT,355TFW,354TFS,,_,Route 74,2000/15,Dive,0,0,1000,0,At target,Fuselage,Y,NVn,NVn,Light automatic weapons,N,Maj,Herman R. F.,Ejection,Recovered,Minor injuries,USAF Helo,18.65,105.95
1965-05-31,0805D,F-105D,624381,TKL,_,35TFS,,_,Thanh Hoa RR and highway bridge,15000/10,Dive,1,40,14000,0,At target,_,Y,NVn,NVn,Gunfire,_,1Lt,Peel R. D.,Ejection,POW (returned),Uninjured,_,19.683333333333334,105.75
1965-06-05,0750D,F-105D,610133,TKL,23TFW,563TFS,,_,SAR for A4C in Laos,/..,Dive,0,0,4000,0,On station,Right wing,N,LS,THL,Heavy gunfire,N,Capt,Kosko W.,Ejection,Recovered,Uninjured,_,17.916666666666668,102.83333333333333
1965-06-08,0927D,F-105D,624290,KRT,355TFW,354TFS,,_,Wooden bridge,5000/10,Pull up,1,0,4000,0,At target,Fuselage,Y,NVn,NVn,Heavy gunfire,N,Capt,Rademacher H.,Ejection,Recovered,Uninjured,USAF Helo,18.083333333333332,105.93333333333334
1965-06-08,_,B-57B,533882,TSN,405TFW,13TBS,,_,_,/..,_,3,0,0,0,At target,_,Y,SVn,SVn,Gunfire,N,Capt,Nelson G. F.,Ejection,Recovered,Uninjured,u Helo,,
1965-06-12,1042D,F-100,553702,DNG,401TFW,615TFS,,Rockets,Gun sites and building,/..,Dive,1,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Holland L. T.,Ejection,POW (died),_,Army Helo,11.583333333333334,106.88333333333334
1965-06-13,0005D,F-100,553600,DNG,3TFW,416TFS,,Napalm,_,/..,_,0,0,0,0,At target,_,Y,SVn,SVn,Gunfire,N,Capt,Gallardo E. F.,Ejection,Recovered,Minor injuries,_,,
1965-06-14,0334D,F-105D,624220,KRT,18TFW,44TFS,,_,Ban Xom Lom army barracks,11000/..,Dive,1,40,4000,500,At target,_,Y,NVn,NVn,Moderate gunfire,N,Maj,Guarino L. N.,Ejection,POW (returned),Uninjured,_,,
1965-06-19,1720N,B-57,533910,TSN,405TFW,8TBS,,_,Highway bridge,5500/..,_,0,0,0,0,_,_,_,NVn,NVn,(Combat associated),_,Capt,Lovelace C. K.,Crash,KIA,_,_,,
1965-06-20,0310D,F-4C,640685,UBN,15TFW,45TFS,,_,Son La army barracks,8000/10,Dive,1,45,0,450,At target,_,Y,NVn,NVn,Heavy 37mm AAA,_,Capt,Briggs C. H.,Ejection,Recovered,Major injuries,_,21.333333333333332,104.15
1965-06-23,0605D,F-105D,624319,KRT,355TFW,357TFS,,_,Concrete bridge,4500/..,Dive,1,10,0,300,At target,Aft fuselage,Y,NVn,NVn,Heavy automatic weapons,N,Maj,Wilson R. W.,Ejection,Recovered,Uninjured,USAF HH43,17.866666666666667,105.8
1965-06-29,0205D,RF-101C,560401,UDN,18TFW,15TRS,,_,Son La BDA,12000/10,Level,1,0,1000,0,At target,,Y,NVn,NVn,Moderate AAA,_,Capt,Lindsey M. N.,_,KIA,_,_,21.333333333333332,103.91666666666667
1965-06-29,_,B-57,533895,TSN,405FW,8TBS,,_,_,/..,_,0,0,0,0,_,Left wing,Y,SVn,SVn,Gunfire,_,Capt,Chambers S. P. III,Crash,KIA,_,_,,
1965-06-29,_,F-104,560937,DNG,_,476TFS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,N,Capt,Cole R.,Ejection,Recovered,Injured,Army Helo,14.5,107.91666666666667
1965-06-30,_,O-1F,564649,BHA,_,34CAMRON,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Windle P. R.,Crash,KIA,_,_,,
1965-07-06,2357D,F-105D,624232,KRT,18TFW,12TFS,,_,Bridge,12000/7,Pull up,1,0,5000,450,At target,Fuselage,Y,NVn,NVn,Automatic weapons,_,Capt,Williamson D. I.,Ejection,MIA,_,_,18.416666666666668,105.81666666666666
1965-07-21,_,F-100,563334,BHA,27TFW,481TFS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Parker J. T.,Ejection,Recovered,Minor injuries,Army Helo,10.583333333333334,106.9
1965-07-22,_,A-1E,52132414,BHA,_,6251CAMRON,,Napalm,_,/..,_,2,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Chase O. C. Jr,Crash,KIA,_,u Helo,,
1965-07-22,_,F-104,560908,DNG,_,436TFS,,_,_,/..,_,0,0,0,0,_,Left fuselage,N,SVn,SVn,Gunfire,_,Capt,Blakeley R. J.,Crash,KIA,_,_,,
1965-07-22,_,O-1F,564218,NTR,_,6253CSQ,,_,_,/..,Pull up,0,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Geiger F. E.,Crash,KIA,_,_,,
1965-07-24,0400D,F-105D,624373,TKL,6441TFW,80TFS,,_,RESCAP for USN aircraft,3000/..,Climb,0,0,3000,350,On station,Fuselage,Y,LS,LS,Light 37mm AAA,N,Maj,McClelland W.,Ejection,Recovered,Uninjured,USAF Helo,16.466666666666665,106.56666666666666
1965-07-24,0855D,F-4C,637599,UBN,15TFW,47TFS,,_,Lang Chi munitions factory,/..,Level,0,0,23000,420,Enroute,_,Y,NVn,NVn,SAM,_,Capt,Fobair R. H.,Ejection,KIA,_,_,21.116666666666667,105.15
1965-07-27,0703D,F-105D,624257,TKL,23TFW,563TFS,,_,Hanoi SAM site no.7,/15,_,0,0,0,0,At target,_,Y,NVn,NVn,Heavy automatic weapons/37mm AAA (prob.),_,Capt,Kosko W. B.,Ejection,MIA,_,_,21.066666666666666,105.3
1965-07-27,0710D,F-105D,624407,_,18TFW,12TFS,,_,Barracks area,/..,Level,0,0,800,500,At target,_,Y,NVn,NVn,Heavy automatic weapons,N,Capt,Tullo F.,Ejection,Recovered,Minor injuries,USAF HH-3,21.166666666666668,105.21666666666667
1965-07-27,0722D,F-105D,624252,KRT,18TFW,12TFS,,Napalm,Can Doi barracks,/10,_,1,0,100,500,At target,Left wing,Y,NVn,NVn,Gunfire,_,Capt,Purcell R. B.,Ejection,POW (returned),_,_,21.083333333333332,105.23333333333333
1965-07-27,0807D,F-105D,610113,TKL,23TFW,563TFS,,Napalm,Hanoi SAM site no.7,/15,_,0,0,0,0,At target,_,Y,NVn,NVn,Gunfire,_,Capt,Berg K. D.,Ejection,POW (returned),_,_,,
1965-07-27,D,F-105D,610177,UDN,355TFW,355CAMS,,_,Hanoi SAM site no.6,/15,_,0,0,0,0,Return,Fwd fuselage,N,NVn,THL,Mid-air collission after heavy gunfire,N,Capt,Barthelmas W.,Crash,KIA,_,_,17.0,102.66666666666667
1965-07-27,D,F-105D,614298,UDN,355TFW,355CAMS,,_,Hanoi SAM site no.6,/15,_,0,0,0,0,Return,_,Y,NVn,THL,Mid-air collission (combat associated),_,Maj,Farr J. G.,Crash,KIA,_,_,15.083333333333334,105.08333333333333
1965-07-29,D,RF-101C,560067,TSN,_,45TRS,,_,Hanoi SAM site no.7,/15,Level,1,0,200,0,At target,_,Y,NVn,NVn,Moderate gunfire,_,Capt,Weatherby J. W.,Crash,KIA,_,_,,
1965-07-31,_,F-100,552837,TSN,27TFW,481TFS,,Napalm,_,/..,_,0,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,1Lt,Watson D. D.,Crash,KIA,_,_,,
1965-08-02,0523D,F-105D,624249,KRT,18TFW,12TFS,,_,Thanh Hoa RR and highway bridge,10000/5,Dive,1,45,5000,450,At target,Right fuselage,Y,NVn,NVn,Heavy automatic weapons/37mm AAA (prob.),_,Capt,Daughtrey R. N.,Ejection,POW (returned),Minor injuries,_,19.8,105.8
1965-08-02,1100Ds,A-1H,132625,DNG,ADV-GP,1131SAS,,_,Not applicable,/..,_,0,0,0,0,_,_,_,SVn,SVn,(Combat associated),_,Maj,Hail W. W.,_,MIA,_,_,,
1965-08-03,0220D,F-105D,610098,_,355TFW,355OMS,,_,Barges,1200/10,Dive,1,0,0,0,At target,_,Y,NVn,NVn,Heavy automatic weapons,_,Maj,Bower J. E.,Ejection,KIA,_,_,18.416666666666668,105.86666666666666
1965-08-05,_,B-57,534243,CLK,6200MATW,_,,_,_,/..,_,0,0,0,0,_,Fuselage,Y,SVn,SVn,Gunfire,N,Capt,Damon R. E.,Ejection,Recovered,Minor injuries,u Helo,,
1965-08-06,1300N,RB-57,553919,TSN,6250CSG,_,,_,_,/..,_,0,0,0,0,_,Left wing,_,SVn,SVn,Gunfire,N,Capt,Horacek L. B.,Ejection,Recovered,Minor injuries,_,10.7,107.73333333333333
1965-08-09,_,F-100D,563185,_,474TFW,429TFS,,_,_,/..,Strafe,0,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,1Lt,Goudy R. L.,Ejection,KIA,_,_,13.583333333333334,107.58333333333333
1965-08-10,0701D,F-105D,610184,_,18TFW,18OMS,,_,Vinh Tuy highway bridge,25000/20,Dive,1,45,0,450,At target,Fuselage,Y,NVn,LS,Light 37mm AAA,N,Capt,Kelch M. J.,Ejection,Recovered,Minor injuries,USAF Helo,20.583333333333332,103.41666666666667
1965-08-11,0202D,F-105D,610172,TKL,_,563TFS,,_,Radar site,/15,Strafe,1,0,0,0,At target,_,Y,NVn,NVn,Light 37mm AAA (prob.),N,Capt,Wilson L. E.,Ejection,Recovered,Uninjured,USAF Helo,18.866666666666667,105.78333333333333
1965-08-13,0030D,RF-101C,560186,UDN,363TRW,15RDF,,_,SAM site,700/3,Level,1,0,700,500,Return,_,Y,NVn,NVn,Heavy AAA,p,Capt,Mellor F. M.,Crash,MIA,_,_,21.05,104.86666666666666
1965-08-22,2300D,F-105D,624235,_,6441TFW,36TFS,,_,_,/..,Dive,0,35,6000,500,At target,_,Y,NVn,NVn,Gunfire,N,Maj,Pogreba D. A.,Ejection,Recovered,Uninjured,USAF Helo,19.8,105.36666666666666
1965-08-27,_,O-1E,576271,NTR,_,6253CSQ,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,1Lt,Elkins J.,Crash,KIA,_,_,,
1965-08-28,0445D,F-105D,638282,KRT,18TFW,67TFS,,_,Barracks area,7000/10,Strafe,2,0,0,0,At target,_,Y,NVn,NVn,Light automatic weapons/small arms (prob.),_,Capt,Schierman W. D.,Ejection,POW (returned),_,_,21.3,103.93333333333334
1965-08-29,0950D,F-105D,610193,KRT,18TFW,67TFS,,_,Yen Bay arsenal,2000/10,Level,1,0,0,550,At target,Fuselage,Y,NVn,NVn,Heavy automatic weapons/37mm AAA (prob.),_,Maj,Byrne R. E. Jr,Ejection,POW (returned),_,_,21.466666666666665,104.98333333333333
